generated_at,2026-05-27 19:28:53 UTC,,,,,,,,,,
source_server,pethubonline.com,,,,,,,,,,
git_commit,e639440 Phase 9H: Sitemap/Taxonomy Recovery + Dog Food Publishing,,,,,,,,,,
generated_by,gen_phase9i.py,,,,,,,,,,
data_source_label,WordPress REST API v2 + Live HTML + post-sitemap.xml,,,,,,,,,,

Post ID,Source Slug,Link URL,Anchor Text,Rel,HTTP Status,Hub-Spoke,Draft/Trash Check,Pet Insurance Gate,Link Type
3839,best-puppy-food-uk,https://pethubonline.com/dry-vs-wet-dog-food-uk/,Previous  Dry vs Wet Dog Food UK &#8211; An Honest Compariso,prev,200,Yes,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/best-dog-toys-uk/,Next   Best Dog Toys UK (2026) – Complete Guide &#038; Hones,next,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/,Top Dog Toys Every Pet Owner Needs in 2026,bookmark noopener noreferrer,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/top-dog-toys-every-pet-owner-needs-in-2026/#respond,Leave a Comment,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/category/dog-supplies/,Dog Supplies,category tag,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/category/product-reviews/,Product Reviews,category tag,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/author/jasonsarah2026/,jasonsarah2026,author,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/best-dog-food-uk/,,,200,Yes,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/best-dog-food-uk/,Best Dog Food UK (2026) &#8211; Complete Buying Guide,bookmark noopener noreferrer,200,Yes,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/best-dog-food-uk/#respond,Leave a Comment,,200,Yes,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/category/dog-food/,Dog Food,category tag,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/category/dog-supplies/,Dog Supplies,category tag,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/category/product-reviews/,Product Reviews,category tag,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/author/jasonsarah2026/,jasonsarah2026,author,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/best-puppy-food-uk/#respond,Cancel reply,nofollow,200,Yes,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/dog-supplies/,Dog Supplies,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/cat-supplies/,Cat Supplies,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/blog/,Blog,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/contact-pet-hub-online/,Contact Us,noopener,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/terms-and-conditions/,Terms &amp; Conditions,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/privacy-policy/,Privacy Policy,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/cookie-policy/,Cookie Policy,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://pethubonline.com/affiliate-disclosure/,Affiliate Disclosure,,200,No,OK,OK,Internal
3839,best-puppy-food-uk,https://www.facebook.com/profile.php?id=61589626250701,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://x.com/online_hub88911,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.instagram.com/pethubonline1,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.facebook.com/profile.php?id=61589626250701,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://x.com/online_hub88911,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.instagram.com/pethubonline1,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.facebook.com/profile.php?id=61589626250701,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://x.com/online_hub88911,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://uk.pinterest.com/PetHubOnline/,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.instagram.com/pethubonline1,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://bsky.app/profile/pethubonline.bsky.social,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.linkedin.com/in/jason-parr-792238406/,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://www.youtube.com/@PetHubOnline,,noopener noreferrer,EXTERNAL,N/A,OK,OK,External
3839,best-puppy-food-uk,https://cookiedatabase.org/tcf/purposes/,Read more about these purposes,noopener noreferrer nofollow,EXTERNAL,N/A,OK,OK,External
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/,,home,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/,Home,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dog-supplies/,Dog Supplies,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dog-toys/,Dog Toys,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dog-beds/,Dog Beds,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dog-collars-leashes/,Dog Collars &amp; Leashes,,200,No,OK,OK,Internal
3838,dry-vs-wet-dog-food-uk,https://pethubonline.com/dog-bowls-feeding/,Dog Bowls &#038; Feeding,,200,No,OK,OK,Internal
